timestamp,object_x,object_y,error_th,error_x,th_set,x_set,left_vel,right_vel,object_found,robot_x,robot_y,robot_theta
9.18013,0,0,45,45,0,0,0,0,0,0,0,0
9.20014,0,0,45,45,0,0,0,0,0,0,0,0
9.22016,0,0,45,45,0,0,0,0,0,0,0,0
9.24019,0,0,45,45,0,0,0,0,0,0,0,0
9.26025,0,0,45,45,0,0,0,0,0,0,0,0
9.28013,0,0,45,45,0,0,0,0,0,0,0,0
9.30025,0,0,45,45,0,0,0,0,0,0,0,0
9.32013,0,0,45,45,0,0,0,0,0,0,0,0
9.34013,0,0,45,45,0,0,0,0,0,0,0,0
9.36013,0,0,45,45,0,0,0,0,0,0,0,0
9.38014,0,0,45,45,0,0,0,0,0,0,0,0
9.40012,0,0,45,45,0,0,0,0,0,0,0,0
9.42013,0,0,45,45,0,0,0,0,0,0,0,0
9.44014,0,0,45,45,0,0,0,0,0,0,0,0
9.46016,0,0,45,45,0,0,0,0,0,0,0,0
9.48012,0,0,45,45,0,0,0,0,0,0,0,0
9.50013,0,0,45,45,0,0,0,0,0,0,0,0
9.52013,0,0,45,45,0,0,0,0,0,0,0,0
9.54015,0,0,45,45,0,0,0,0,0,0,0,0
9.56017,0,0,45,45,0,0,0,0,0,0,0,0
9.58013,0,0,45,45,0,0,0,0,0,0,0,0
9.60012,0,0,45,45,0,0,0,0,0,0,0,0
9.62013,0,0,45,45,0,0,0,0,0,0,0,0
9.64017,0,0,45,45,0,0,0,0,0,0,0,0
9.66013,0,0,45,45,0,0,0,0,0,0,0,0
9.68015,0,0,45,45,0,0,0,0,0,0,0,0
9.70017,0,0,45,45,0,0,0,0,0,0,0,0
